char	chai	code	pinyin	zijiset	encode
僭	亻旡②日	TnIvKzRh	jiàn_zèn	GB0	tikr
僮	亻立里	TnOwVp	tóng_zhuàng_chòng	GB0	tovp
僳	亻覀米	TnAgEu	sù	GB0	taeu
僵	亻一田一田一	TnYaJaYaJaYa	jiāng	GB0	tyjy
僻	亻尸口辛	TnOcBlJr	pì	GB0	tobj
儆	亻艹句攵	TnDyWmKd	jǐng	GB0	tdwk
儇	亻罒一口	TnPgYaBlPs	xuān_xuán	GB0	tpyp
儋	亻⺈厂八言	TnHjGjIsOm	dān_dàn_shàn	GB0	thgo
儒	亻⻗而	TnPjFh	rú	GB0	tpfh
儡	亻田③	TnJaHt	lěi_léi_lèi	GB0	tjha
儿	儿	In	ér_er_rén	GB0	inn
兀	一儿	YaIn	wù_wū	GB0	yina
允	厶儿	QjIn	yǔn_yuán	GB0	qinj
元	二儿	NpIn	yuán	GB0	ninp
兄	口儿	BlIn	xiōng_kuàng	GB0	binl
充	儿	OgIn	chōng	GB0	oing
兆	儿冫	InQuQu	zhào	GB0	iqqu
先	⺧儿	ZfIn	xiān	GB0	zinf
光	光	Ng	guāng_guàng	GB0	ngg
克	古儿	YsIn	kè	GB0	yins
免		LbIn	miǎn_wèn_wǎn	GB0	linb
兑	丷口儿	NwBlIn	duì_ruì_duó	GB0	nbin
兔	兔	Lb	tù_tú_chān	GB0	lbb
兕	一儿	KrYaIn	sì	GB0	kyin
兖	六厶儿	SuQjIn	yǎn	GB0	sqin
党	儿	GkIn	dǎng	GB0	gink
兜	白コ儿	TkKyAoIn	dōu	GB0	tkai
兢	古古儿	YsInYsIn	jīng	GB0	yiyi
入	入	Fn	rù	GB0	fnn
全	人王	JsAh	quán	GB0	jahs
八	八	Is	bā_bá	GB0	iss
公	八厶	IsQj	gōng	GB0	iqjs
六	六	Su	liù_lù	GB0	suu
兮	八丂	IsEl	xī	GB0	iels
兰	丷三	NwRm	lán	GB0	nrmw
共	龷八	DnIs	gòng_gōng_gǒng_hóng	GB0	disn
关	䒑大	NwVu	guān	GB0	nvuw
兴	⺍	YqIs	xīng_xìng	GB0	yisq
兵		XuIs	bīng	GB0	xisu
其		WnIs	qí_jī_jì	GB0	wisn
具		XnIs	jù	GB0	xisn
典		CmIs	diǎn_tiǎn	GB0	cism
兹	䒑幺②	NwNfKz	zī_cí	GB0	nnkf
养	⺶㇏	MkHcFj	yǎng	GB0	mhfj
兼	䒑	NwRkLc	jiān	GB0	nrlc
兽	丷田一口	NwJaYaBl	shòu	GB0	njyb
冀	匕田龷八	MpSkJaDnIs	jì	GB0	msji
冁	丷田十尸龷	NwJaSrOcDnPs	chǎn	GB0	njsp
冂	冂	Kr	jiōng_jiǒng	GB0	krr
内	冂人	KrJs	nèi_nà_ruì	GB0	kjsr
冈	冂㐅	KrOq	gāng	GB0	koqr
冉	冂土	KrGm	rǎn_nán_dān	GB0	kgmr
册	册	Yv	cè_zhà	GB0	yvv
再	一冂土	YaKrGm	zài	GB0	ykgm
冒	⺜目	RhXn	mào_mò	GB0	rxnh
冕	⺜	RhLbIn	miǎn	GB0	rlin
冖	冖	Ei	mì	GB0	eiii
冗	冖几	EiId	rǒng	GB0	eidi
写	冖丂一	EiElYa	xiě_xiè	GB0	eeya
军	冖车	EiGu	jūn	GB0	egui
农	冖	EiPs	nóng	GB0	epsi
冠	冖二儿寸	EiNpInDl	guān_guàn	GB0	enid
冢	冖豕丶	EiTuHc	zhǒng	GB0	ethc
冤	冖兔	EiLb	yuān	GB0	elbi
冥	冖日六	EiRhSu	míng_mián_miàn	GB0	ersu
冫	冫	Qu	bīng	GB0	quu
冬	夂⺀	KeQu	dōng	GB0	kque
冯	冫马	QuSo	féng_píng	GB0	qsou
冰	冫水	QuYq	bīng_níng	GB0	qyqu
冱	冫一彑	QuYaUa	hù	GB0	qyua
冲	冫口丨	QuBlWf	chōng_chòng	GB0	qbwf
决	冫人	QuAoJs	jué	GB0	qajs
况	冫口儿	QuBlIn	kuàng	GB0	qbin
冶	冫厶口	QuQjBl	yě	GB0	qqbl
冷	冫亽龴	QuJgQj	lěng_líng_lǐng	GB0	qjqj
冻	冫小	QuMdDu	dòng	GB0	qmdu
冼	冫⺧儿	QuZfIn	xiǎn_shěng	GB0	qzin
